,val_wer,val_cer,test_wer,test_cer
"(k=1,features=MFCC,dist=dtw,preprocess=None)",1.0537976351134246,0.9689588169665561,1.083155818540434,1.0131240021373513
"(k=3,features=MFCC,dist=dtw,preprocess=None)",1.057962213225371,1.0098578034979326,1.0837306283460129,1.0051304946729231
"(k=5,features=MFCC,dist=dtw,preprocess=None)",1.0441909260330313,0.9834799723921581,1.0771810134310134,0.9947900445067365
"(k=11,features=MFCC,dist=dtw,preprocess=None)",1.0571936250883616,1.0165319613048724,1.0678841457687611,1.0017939580663355
"(k=15,features=MFCC,dist=dtw,preprocess=None)",1.0502644431591799,1.0046492388204569,1.080353620738236,0.9731308303799147
"(k=21,features=MFCC,dist=dtw,preprocess=None)",1.0540810359231412,0.9794174934238915,1.0786282093974402,0.9760354818117039
