,val_wer,val_cer,test_wer,test_cer
"(k=1,features=MFCC,dist=euclidean,preprocess=speaker_normalization)",0.9164047940363728,0.7364872274248007,0.9074633699633694,0.6797256157071839
"(k=3,features=Mel,dist=euclidean,preprocess=None)",0.9686019536019537,0.8613858825991487,0.9952088189588189,0.8346243364367186
"(k=1,features=Mel,dist=euclidean,preprocess=features_normalization)",1.0262036501510183,0.8783911990007729,1.045334473219089,0.8119832937183376
"(k=1,features=Mel,dist=euclidean,preprocess=None)",0.9839946018893388,0.875665660177596,1.0018048084394238,0.8424090819742184
"(k=1,features=MFCC,dist=euclidean,preprocess=None)",0.8746253454148192,0.6780062657230145,0.8755319893781429,0.6765443932104227
"(k=3,features=MFCC,dist=euclidean,preprocess=speaker_normalization)",0.9053736906368485,0.7243936884139014,0.8921524842678685,0.6677734606602236
"(k=3,features=MFCC,dist=euclidean,preprocess=None)",0.8515969410706253,0.6590684279838304,0.8608527796989335,0.6687284948038417
"(k=3,features=Mel,dist=euclidean,preprocess=speaker_normalization)",0.9053736906368485,0.7243936884139014,0.8921524842678685,0.6677734606602236
"(k=1,features=Mel,dist=euclidean,preprocess=speaker_normalization)",0.9164047940363728,0.7364872274248007,0.9074633699633694,0.6797256157071839
"(k=3,features=Mel,dist=euclidean,preprocess=features_normalization)",1.024699890752522,0.8744204387668548,1.0455176234022394,0.812692871342254
"(k=3,features=MFCC,dist=euclidean,preprocess=features_normalization)",1.024699890752522,0.8744204387668548,1.0455176234022394,0.812692871342254
"(k=1,features=MFCC,dist=euclidean,preprocess=features_normalization)",1.0262036501510183,0.8783911990007729,1.045334473219089,0.8119832937183376
"(k=1,features=Mel,dist=dtw,preprocess=None)",0.9809286035601824,0.9146359220179187,0.9669907336253492,0.9157094414475664
"(k=3,features=Mel,dist=dtw,preprocess=None)",0.9686771415718782,0.9207320526002799,0.9710017226363381,0.9072821924065066
"(k=3,features=MFCC,dist=dtw,preprocess=None)",0.8389319452477344,0.7683809780770547,0.8801802897956741,0.7649225577471284
"(k=3,features=Mel,dist=dtw,preprocess=features_normalization)",1.0470432491485122,0.887393538566173,1.082227857612473,0.8480892229706767
"(k=1,features=Mel,dist=dtw,preprocess=features_normalization)",1.0495996401259557,0.887010079100248,1.080741288625904,0.8476798369420695
"(k=1,features=MFCC,dist=dtw,preprocess=None)",0.8490906754064645,0.7744566333389977,0.8927932324086167,0.777470268177803
"(k=3,features=MFCC,dist=dtw,preprocess=features_normalization)",1.0470432491485122,0.887393538566173,1.082227857612473,0.8480892229706767
"(k=1,features=MFCC,dist=dtw,preprocess=features_normalization)",1.0495996401259557,0.887010079100248,1.080741288625904,0.8476798369420695
"(k=5,features=Mel,dist=euclidean,preprocess=None)",0.937436540068119,0.8408526057456058,0.9733544233544232,0.8115109899307014
"(k=5,features=Mel,dist=euclidean,preprocess=speaker_normalization)",0.9062759462759463,0.7362282823966761,0.8878349108156797,0.6737066969865612
"(k=5,features=Mel,dist=euclidean,preprocess=features_normalization)",1.0127115866589547,0.8674875632360941,1.0288646929993086,0.7827206713768627
"(k=5,features=MFCC,dist=euclidean,preprocess=speaker_normalization)",0.9062759462759463,0.7362282823966761,0.8878349108156797,0.6737066969865612
"(k=5,features=MFCC,dist=euclidean,preprocess=None)",0.84229451834715,0.6502618247140984,0.8387160275621813,0.6409377434378798
"(k=5,features=MFCC,dist=euclidean,preprocess=features_normalization)",1.0127115866589547,0.8674875632360941,1.0288646929993086,0.7827206713768627
"(k=1,features=Mel,dist=dtw,preprocess=speaker_normalization)",0.9701057130004497,0.8098946918763786,0.888482820598205,0.6971578593063065
"(k=3,features=Mel,dist=dtw,preprocess=speaker_normalization)",0.9659411348885031,0.8173256134795767,0.8686801766609458,0.6877102487679803
"(k=5,features=Mel,dist=dtw,preprocess=None)",0.9317145427671744,0.8875976355139836,0.9670762037108191,0.8953847839799302
"(k=3,features=MFCC,dist=dtw,preprocess=speaker_normalization)",0.9659411348885031,0.8173256134795767,0.8686801766609458,0.6877102487679803
"(k=11,features=Mel,dist=euclidean,preprocess=features_normalization)",1.0063122549964651,0.8318570598144357,1.025331420716036,0.7608325667744028
"(k=1,features=MFCC,dist=dtw,preprocess=speaker_normalization)",0.9701057130004497,0.8098946918763786,0.888482820598205,0.6971578593063065
"(k=5,features=MFCC,dist=dtw,preprocess=features_normalization)",1.040342522974102,0.9068457446284158,1.0860312764158917,0.8480332342872363
"(k=5,features=Mel,dist=dtw,preprocess=features_normalization)",1.040342522974102,0.9068457446284158,1.0860312764158917,0.8480332342872363
"(k=11,features=Mel,dist=euclidean,preprocess=speaker_normalization)",0.889036372983741,0.7286902851453912,0.8621477881093265,0.6556164913161184
"(k=11,features=Mel,dist=euclidean,preprocess=None)",0.8960796221322535,0.7781680259406256,0.941622405372405,0.7401952642713507
"(k=5,features=MFCC,dist=dtw,preprocess=None)",0.832662103977893,0.74297828396379,0.8544832624640315,0.7225907335222959
"(k=11,features=Mel,dist=dtw,preprocess=features_normalization)",1.0303007518796994,1.020427937327428,1.0732962336808494,0.9658563651663713
"(k=11,features=Mel,dist=dtw,preprocess=None)",0.9310539168433899,0.8943318718340338,0.939585638720254,0.876269453982571
"(k=11,features=MFCC,dist=dtw,preprocess=features_normalization)",1.0303007518796994,1.020427937327428,1.0732962336808494,0.9658563651663713
"(k=11,features=MFCC,dist=euclidean,preprocess=speaker_normalization)",0.889036372983741,0.7286902851453912,0.8621477881093265,0.6556164913161184
